particle_id,image,class,length_nm,width_nm,notes
1,s2_A_starting_rods.png,rod,30.18,4.81,semi_auto_tuned_pipeline
2,s2_A_starting_rods.png,rod,19.24,4.22,semi_auto_tuned_pipeline
3,s2_A_starting_rods.png,rod,19.59,4.66,semi_auto_tuned_pipeline
4,s2_A_starting_rods.png,rod,32.5,3.85,semi_auto_tuned_pipeline
5,s2_A_starting_rods.png,rod,21.96,3.33,semi_auto_tuned_pipeline
6,s2_A_starting_rods.png,rod,31.91,4.0,semi_auto_tuned_pipeline
7,s2_A_starting_rods.png,rod,32.22,5.4,semi_auto_tuned_pipeline
8,s2_A_starting_rods.png,rod,11.01,3.42,semi_auto_tuned_pipeline
9,s2_A_starting_rods.png,rod,29.01,4.28,semi_auto_tuned_pipeline
10,s2_A_starting_rods.png,rod,50.37,20.73,semi_auto_tuned_pipeline
11,s2_A_starting_rods.png,rod,26.08,4.04,semi_auto_tuned_pipeline
12,s2_A_starting_rods.png,rod,29.26,4.08,semi_auto_tuned_pipeline
13,s2_A_starting_rods.png,rod,35.02,3.62,semi_auto_tuned_pipeline
15,s2_A_starting_rods.png,rod,16.18,3.05,semi_auto_tuned_pipeline
17,s2_A_starting_rods.png,rod,33.5,3.81,semi_auto_tuned_pipeline
18,s2_A_starting_rods.png,rod,27.19,3.85,semi_auto_tuned_pipeline
19,s2_A_starting_rods.png,rod,27.39,3.6,semi_auto_tuned_pipeline
20,s2_A_starting_rods.png,rod,33.91,10.79,semi_auto_tuned_pipeline
21,s2_A_starting_rods.png,rod,22.93,4.05,semi_auto_tuned_pipeline
22,s2_A_starting_rods.png,rod,30.33,3.55,semi_auto_tuned_pipeline
23,s2_A_starting_rods.png,rod,22.56,3.75,semi_auto_tuned_pipeline
24,s2_A_starting_rods.png,rod,32.26,3.61,semi_auto_tuned_pipeline
25,s2_A_starting_rods.png,rod,28.11,4.09,semi_auto_tuned_pipeline
26,s2_A_starting_rods.png,rod,27.27,3.59,semi_auto_tuned_pipeline
27,s2_A_starting_rods.png,rod,33.05,3.1,semi_auto_tuned_pipeline
28,s2_A_starting_rods.png,rod,30.56,4.37,semi_auto_tuned_pipeline
29,s2_A_starting_rods.png,rod,31.32,3.7,semi_auto_tuned_pipeline
30,s2_A_starting_rods.png,rod,26.1,4.78,semi_auto_tuned_pipeline
31,s2_A_starting_rods.png,rod,26.1,4.01,semi_auto_tuned_pipeline
32,s2_A_starting_rods.png,rod,37.01,4.8,semi_auto_tuned_pipeline
33,s2_A_starting_rods.png,rod,27.44,3.58,semi_auto_tuned_pipeline
1,s2_B_30min.png,rod,9.83,4.53,semi_auto_tuned_pipeline
2,s2_B_30min.png,rod,76.75,6.92,semi_auto_tuned_pipeline
3,s2_B_30min.png,rod,35.27,4.59,semi_auto_tuned_pipeline
4,s2_B_30min.png,rod,65.22,5.59,semi_auto_tuned_pipeline
5,s2_B_30min.png,rod,49.68,7.96,semi_auto_tuned_pipeline
6,s2_B_30min.png,rod,64.39,6.72,semi_auto_tuned_pipeline
7,s2_B_30min.png,rod,103.19,54.67,semi_auto_tuned_pipeline
8,s2_B_30min.png,rod,76.99,7.12,semi_auto_tuned_pipeline
9,s2_B_30min.png,rod,52.35,5.21,semi_auto_tuned_pipeline
10,s2_B_30min.png,rod,76.66,6.68,semi_auto_tuned_pipeline
11,s2_B_30min.png,rod,76.66,6.84,semi_auto_tuned_pipeline
12,s2_B_30min.png,rod,72.56,6.93,semi_auto_tuned_pipeline
13,s2_B_30min.png,rod,62.55,6.98,semi_auto_tuned_pipeline
14,s2_B_30min.png,rod,120.11,40.3,semi_auto_tuned_pipeline
15,s2_B_30min.png,rod,74.16,6.36,semi_auto_tuned_pipeline
16,s2_B_30min.png,rod,79.5,6.67,semi_auto_tuned_pipeline
17,s2_B_30min.png,rod,73.91,8.43,semi_auto_tuned_pipeline
18,s2_B_30min.png,rod,71.82,6.12,semi_auto_tuned_pipeline
19,s2_B_30min.png,rod,71.82,6.3,semi_auto_tuned_pipeline
20,s2_B_30min.png,rod,66.93,7.37,semi_auto_tuned_pipeline
21,s2_B_30min.png,rod,70.46,6.54,semi_auto_tuned_pipeline
22,s2_B_30min.png,rod,22.95,4.54,semi_auto_tuned_pipeline
24,s2_B_30min.png,rod,82.61,7.15,semi_auto_tuned_pipeline
25,s2_B_30min.png,rod,36.92,16.73,semi_auto_tuned_pipeline
26,s2_B_30min.png,rod,59.92,6.9,semi_auto_tuned_pipeline
1,s2_D_65min.png,rod,65.92,5.67,semi_auto_tuned_pipeline
2,s2_D_65min.png,rod,110.11,6.24,semi_auto_tuned_pipeline
3,s2_D_65min.png,rod,29.68,3.85,semi_auto_tuned_pipeline
4,s2_D_65min.png,rod,18.5,3.11,semi_auto_tuned_pipeline
5,s2_D_65min.png,rod,27.01,3.93,semi_auto_tuned_pipeline
6,s2_D_65min.png,rod,91.65,6.22,semi_auto_tuned_pipeline
7,s2_D_65min.png,rod,9.55,4.25,semi_auto_tuned_pipeline
8,s2_D_65min.png,rod,104.24,8.85,semi_auto_tuned_pipeline
9,s2_D_65min.png,rod,19.65,2.88,semi_auto_tuned_pipeline
